CVE-2022-0004
CVE-2022-0005
CVE-2022-0010
CVE-2022-4953
CVE-2022-4955
CVE-2022-0543
CVE-2022-0609
CVE-2022-0847
CVE-2022-1040
CVE-2018-14064
CVE-2018-8373
CVE-2020-14750
CVE-2020-14864
CVE-2022-31101
CVE-2023-28502
CVE-2023-28771
